Reaction ID;Reaction class;
43470967;MA;
36212250;MA;
36212254;MA;
42585010;MA;
9342543;MA;
9305605;MA;
9342547;MA;
9305600;MA;
8622938;MA;
8622984;MA;
37534438;MA;
37534443;MA;
37534444;MA;
37534445;MA;
37534446;MA;
37534471;MA;
8622924;MA;
28959989;MA;
28959988;MA;
2249099;MA;
2226968;MA;
28933031;MA;
28933028;MA;
11230278;MA;
33492660;MA;
36282928;MA;
36282930;MA;
36282943;MA;
4379796;MA;
28765944;MA;
39664657;MA;
43389197;MA;
43389198;MA;
49275311;MA;
30290310;MA;
47232792;MA;
30561865;MA;
39877414;MA;
42844298;MA;
9881062;MA;
9881088;MA;
2212427;MA;
9880482;MA;
11286909;MA;
9078470;MA;
2250144;MA;
9078472;MA;
11098222;MA;
28466650;MA;
2222480;MA;
2226969;MA;
2226970;MA;
2226971;MA;
35171019;MA;
43389196;MA;
43389186;MA;
30290324;MA;
30290337;MA;
30290383;MA;
31817698;MA;
8781355;MA;
8610796;MA;
31817699;MA;
8941753;MA;
9036411;MA;
9078471;MA;
11083007;MA;
30551463;MA;
34135553;MA;
34135574;MA;
30068479;MA;
34135575;MA;
3784887;MA;
10251036;MA;
47304024;MA;
4164168;MA;
4164169;MA;
9342542;MA;
9342546;MA;
9305599;MA;
9305604;MA;
29170765;MA;
29656684;MA;
44778560;MA;
48758565;MA;
51589741;MA;
2249726;MA;
8684312;MA;
9251910;MA;
9406483;MA;
9592032;MA;
9595635;MA;
10306243;MA;
29985917;MA;
51589742;MA;
2213661;MA;
2256480;MA;
4828937;MA;
8540383;MA;
8689873;MA;
8755796;MA;
9240240;MA;
9592649;MA;
9726312;MA;
10206601;MA;
10298798;MA;
10444448;MA;
11002013;MA;
11064497;MA;
11064499;MA;
29338198;MA;
29985918;MA;
30696736;MA;
31720906;MA;
31720925;MA;
38621209;MA;
38621223;MA;
2214355;MA;
2251302;MA;
4839250;MA;
4839307;MA;
8540977;MA;
9251432;MA;
9260810;MA;
9266800;MA;
9460698;MA;
11064510;MA;
11064513;MA;
29155947;MA;
30224563;MA;
32405821;MA;
35028402;MA;
40195043;MA;
47101481;MA;
51921554;MA;
1908655;MA;
2442363;MA;
4080268;MA;
4776979;MA;
9291605;MA;
11064506;MA;
11064508;MA;
11064512;MA;
40097819;MA;
46938183;MA;
2441065;MA;
8820953;MA;
8886190;MA;
9583962;MA;
11064501;MA;
9252784;MA;
10029328;MA;
11064504;MA;
28506004;MA;
29472323;MA;
33222040;MA;
46938182;MA;
2255733;MA;
8540384;MA;
24134501;MA;
42908373;MA;
4294185;MA;
42400270;MA;
8640016;MA;
807;MA;
808;MA;
16847;MA;
4882877;MA;
4614050;MA;
47552801;MA;
9036270;MA;
9037053;MA;
9071062;MA;
2222125;MA;
9016728;MA;
9020632;MA;
9036998;MA;
9071064;MA;
28771546;MA;
37525829;MA;
9004917;MA;
9037789;MA;
9038469;MA;
9189864;MA;
9020638;MA;
32798949;MA;
2222128;MA;
9880840;MA;
27971705;MA;
27971706;MA;
4813887;MA;
4442462;MA;
4442463;MA;
9867837;MA;
2068766;MA;
9655275;MA;
10297997;MA;
29170764;MA;
37045396;MA;
2251857;MA;
4937781;MA;
2213660;MA;
4165145;MA;
5186179;MA;
5187679;MA;
5187689;MA;
5200972;MA;
5201709;MA;
5222234;MA;
10125006;MA;
31192621;MA;
45615996;MA;
45616008;MA;
45616037;MA;
2138427;MA;
2253427;MA;
2255531;MA;
2259113;MA;
2250407;MA;
4308831;MA;
44173972;MA;
45863271;MA;
1674192;MA;
2254298;MA;
4417841;MA;
4427529;MA;
4427604;MA;
4427684;MA;
1510245;MA;
2248076;MA;
2248866;MA;
4165342;MA;
4874910;MA;
9525571;MA;
29455521;MA;
2249056;MA;
4438571;MA;
4438572;MA;
4462408;MA;
4462431;MA;
4463482;MA;
4480407;MA;
4480814;MA;
4485596;MA;
4506313;MA;
4568820;MA;
4568823;MA;
4601127;MA;
4601131;MA;
4759975;MA;
4791775;MA;
3893880;MA;
2316458;MA;
28855766;MA;
29031949;MA;
3826017;MA;
9548301;MA;
931025;MA;
931027;MA;
49973779;MA;
4294179;MA;
34135528;MA;
34135530;MA;
28855769;MA;
4297311;MA;
2926334;MA;
775837;MA;
2852110;MA;
4534767;MA;
1321;MA;
94160;MA;
94576;MA;
4636784;MA;
9525572;MA;
2823464;MA;
3118222;MA;
3121805;MA;
3148302;MA;
3148432;MA;
3148541;MA;
3148542;MA;
3151632;MA;
4075597;MA;
4470488;MA;
5231529;MA;
1437057;MA;
9610578;MA;
3802060;MA;
2247877;MA;
2249409;MA;
2250406;MA;
2925614;MA;
4307392;MA;
8932822;MA;
8946117;MA;
8946997;MA;
3068368;MA;
8938515;MA;
8954344;MA;
1674844;MA;
1674845;MA;
2247850;MA;
2248005;MA;
2249845;MA;
2249847;MA;
2254472;MA;
2259615;MA;
4419088;MA;
1607921;MA;
1674147;MA;
1674389;MA;
1674800;MA;
2215104;MA;
2248865;MA;
2249781;MA;
2253659;MA;
2255588;MA;
2255687;MA;
2255725;MA;
2925931;MA;
2926183;MA;
4732299;MA;
5090181;MA;
4819335;MA;
4819384;MA;
1674511;MA;
2219227;MA;
